league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
Bundesliga,1910796,4852,FC Heidenheim,True,362,283,9,3,7,17,9
Bundesliga,1910796,36,Leverkusen,False,577,490,14,3,10,14,2
Bundesliga,1910839,42,Werder Bremen,False,432,342,8,1,3,15,9
Bundesliga,1910839,33,Wolfsburg,True,562,451,11,0,9,22,5
Bundesliga,1910629,134,Borussia M.Gladbach,False,443,371,13,1,12,24,12
Bundesliga,1910629,36,Leverkusen,True,703,628,13,1,13,14,10
Bundesliga,1910631,44,Borussia Dortmund,True,586,495,12,1,9,9,9
Bundesliga,1910631,33,Wolfsburg,False,460,379,9,0,8,20,14
Bundesliga,1910633,796,Union Berlin,False,218,128,11,4,7,17,4
Bundesliga,1910633,45,Eintracht Frankfurt,True,728,622,19,3,16,12,7
Bundesliga,1910756,219,Mainz,True,430,292,18,1,12,6,8
Bundesliga,1910756,1211,Hoffenheim,False,509,360,19,1,15,14,11
Bundesliga,1910665,37,Bayern,False,824,735,23,4,17,10,8
Bundesliga,1910665,4852,FC Heidenheim,True,304,225,7,0,6,12,6
Bundesliga,1910666,219,Mainz,True,466,347,13,0,9,8,10
Bundesliga,1910666,283,St. Pauli,False,411,280,5,0,4,17,11
Bundesliga,1910721,134,Borussia M.Gladbach,False,567,467,12,1,9,14,5
Bundesliga,1910721,50,Freiburg,True,345,240,10,2,6,13,8
Bundesliga,1910723,4852,FC Heidenheim,True,343,228,10,3,7,9,11
Bundesliga,1910723,41,Stuttgart,False,658,529,12,3,9,12,10
Bundesliga,1910729,42,Werder Bremen,False,616,492,13,1,8,15,11
Bundesliga,1910729,283,St. Pauli,True,451,341,4,2,4,15,13
Bundesliga,1910790,41,Stuttgart,False,611,509,13,5,10,14,7
Bundesliga,1910790,1730,Augsburg,True,401,308,13,2,8,11,19
Bundesliga,1910836,45,Eintracht Frankfurt,False,629,554,12,1,12,8,4
Bundesliga,1910836,219,Mainz,True,270,187,8,2,7,18,7
Bundesliga,1910838,283,St. Pauli,True,468,369,12,1,10,15,6
Bundesliga,1910838,50,Freiburg,False,485,405,15,2,10,12,8
Bundesliga,1908319,37,Bayern,True,689,621,19,6,15,13,10
Bundesliga,1908319,7614,RBL,False,406,329,12,0,9,18,9
Bundesliga,1910746,1730,Augsburg,True,452,375,13,1,8,14,7
Bundesliga,1910746,38,Hamburg,False,500,414,15,0,13,15,9
Bundesliga,1910748,37,Bayern,True,808,732,22,6,20,15,10
Bundesliga,1910748,50,Freiburg,False,330,247,8,2,6,15,9
Bundesliga,1910750,44,Borussia Dortmund,True,451,350,14,3,8,21,10
Bundesliga,1910750,41,Stuttgart,False,550,447,16,3,13,15,13
Bundesliga,1910752,282,FC Koln,True,532,442,11,3,9,17,10
Bundesliga,1910752,45,Eintracht Frankfurt,False,603,521,11,4,10,13,13
Bundesliga,1910754,4852,FC Heidenheim,True,539,457,7,0,7,12,10
Bundesliga,1910754,134,Borussia M.Gladbach,False,568,492,16,3,10,20,2
Bundesliga,1910761,36,Leverkusen,False,704,625,7,3,5,11,4
Bundesliga,1910761,33,Wolfsburg,True,431,348,21,1,19,15,7
Bundesliga,1910821,38,Hamburg,False,609,511,5,0,3,13,9
Bundesliga,1910821,283,St. Pauli,True,463,355,8,0,4,16,7
Bundesliga,1910599,44,Borussia Dortmund,False,511,439,8,3,7,10,8
Bundesliga,1910599,283,St. Pauli,True,536,425,11,3,8,20,7
Bundesliga,1910600,4852,FC Heidenheim,True,429,344,7,1,4,12,7
Bundesliga,1910600,33,Wolfsburg,False,450,355,15,3,11,11,11
Bundesliga,1910601,36,Leverkusen,True,617,518,7,1,5,7,9
Bundesliga,1910601,1211,Hoffenheim,False,418,335,10,2,9,15,10
Bundesliga,1910603,796,Union Berlin,True,228,140,8,2,6,16,7
Bundesliga,1910603,41,Stuttgart,False,674,575,21,1,18,13,3
Bundesliga,1910604,45,Eintracht Frankfurt,True,518,432,18,4,15,21,15
Bundesliga,1910604,42,Werder Bremen,False,463,376,10,1,7,16,7
Bundesliga,1910605,1730,Augsburg,False,331,227,14,3,7,15,12
Bundesliga,1910605,50,Freiburg,True,510,399,16,1,11,13,13
Bundesliga,1910758,7614,RBL,True,570,489,22,2,15,15,10
Bundesliga,1910758,42,Werder Bremen,False,521,444,15,0,12,24,10
Bundesliga,1910759,283,St. Pauli,True,616,456,12,0,8,18,10
Bundesliga,1910759,796,Union Berlin,False,441,328,7,1,5,11,6
Bundesliga,1910814,42,Werder Bremen,False,600,504,17,0,12,18,16
Bundesliga,1910814,36,Leverkusen,True,575,487,13,1,11,13,15
Bundesliga,1910815,1730,Augsburg,False,367,280,16,2,13,20,8
Bundesliga,1910815,37,Bayern,True,867,783,15,1,12,13,9
Bundesliga,1910817,1211,Hoffenheim,False,524,405,10,3,6,17,12
Bundesliga,1910817,45,Eintracht Frankfurt,True,472,340,10,1,6,16,12
Bundesliga,1910819,4852,FC Heidenheim,True,277,180,7,0,5,27,9
Bundesliga,1910819,7614,RBL,False,738,646,11,3,7,20,5
Bundesliga,1910820,33,Wolfsburg,False,357,241,7,1,3,21,3
Bundesliga,1910820,219,Mainz,True,509,378,20,3,11,17,9
Bundesliga,1910822,796,Union Berlin,True,433,296,10,0,8,17,12
Bundesliga,1910822,44,Borussia Dortmund,False,343,236,15,3,10,14,11
Bundesliga,1910598,282,FC Koln,False,437,348,12,1,9,10,4
Bundesliga,1910598,219,Mainz,True,455,337,19,0,15,10,3
Bundesliga,1910602,38,Hamburg,False,390,306,7,0,6,13,4
Bundesliga,1910602,134,Borussia M.Gladbach,True,605,512,17,0,15,15,8
Bundesliga,1910708,796,Union Berlin,False,410,293,12,0,10,18,9
Bundesliga,1910708,42,Werder Bremen,True,554,443,16,1,8,16,10
Bundesliga,1910816,41,Stuttgart,False,594,497,17,3,14,21,4
Bundesliga,1910816,134,Borussia M.Gladbach,True,469,373,13,0,6,12,13
Bundesliga,1910818,282,FC Koln,False,465,362,19,1,13,19,6
Bundesliga,1910818,50,Freiburg,True,421,328,14,2,10,11,7
Bundesliga,1910689,7614,RBL,False,611,528,15,6,12,17,9
Bundesliga,1910689,1730,Augsburg,True,612,510,15,0,13,20,4
Bundesliga,1910696,134,Borussia M.Gladbach,True,203,132,1,0,0,19,10
Bundesliga,1910696,37,Bayern,False,956,875,27,3,22,7,2
Bundesliga,1910698,44,Borussia Dortmund,True,669,572,27,1,25,14,3
Bundesliga,1910698,282,FC Koln,False,292,219,5,0,4,20,8
Bundesliga,1910700,283,St. Pauli,False,560,461,9,0,5,17,7
Bundesliga,1910700,45,Eintracht Frankfurt,True,586,502,10,2,8,16,9
Bundesliga,1910702,38,Hamburg,True,567,447,27,0,18,13,6
Bundesliga,1910702,33,Wolfsburg,False,357,259,6,1,5,14,9
Bundesliga,1910704,4852,FC Heidenheim,False,393,278,12,1,10,17,9
Bundesliga,1910704,1211,Hoffenheim,True,573,456,14,3,11,7,8
Bundesliga,1910645,37,Bayern,True,701,610,26,4,23,13,18
Bundesliga,1910645,42,Werder Bremen,False,483,382,9,0,7,16,12
Bundesliga,1910693,36,Leverkusen,True,792,730,19,2,15,11,2
Bundesliga,1910693,50,Freiburg,False,353,278,10,0,7,22,5
Bundesliga,1910706,219,Mainz,False,369,251,13,1,7,10,7
Bundesliga,1910706,41,Stuttgart,True,519,415,19,2,13,15,10
Bundesliga,1910684,7614,RBL,False,638,534,12,1,11,10,6
Bundesliga,1910684,283,St. Pauli,True,552,423,7,1,6,25,16
Bundesliga,1910688,1211,Hoffenheim,False,413,294,12,2,7,13,10
Bundesliga,1910688,42,Werder Bremen,True,584,461,26,0,15,13,5
Bundesliga,1910735,282,FC Koln,False,491,389,10,0,8,17,7
Bundesliga,1910735,1730,Augsburg,True,422,328,14,2,8,19,9
Bundesliga,1910647,134,Borussia M.Gladbach,True,404,319,11,4,10,14,12
Bundesliga,1910647,45,Eintracht Frankfurt,False,626,519,21,6,18,14,6
Bundesliga,1910653,4852,FC Heidenheim,True,411,297,11,2,8,21,8
Bundesliga,1910653,1730,Augsburg,False,445,352,8,1,7,12,10
Bundesliga,1910655,44,Borussia Dortmund,False,430,328,10,2,8,8,7
Bundesliga,1910655,219,Mainz,True,407,293,8,0,8,17,8
Bundesliga,1910657,283,St. Pauli,True,508,403,13,1,10,13,10
Bundesliga,1910657,36,Leverkusen,False,515,433,5,2,4,14,6
Bundesliga,1910661,7614,RBL,False,481,385,20,1,15,16,11
Bundesliga,1910661,33,Wolfsburg,True,490,395,22,0,16,17,9
Bundesliga,1910737,219,Mainz,False,405,303,8,1,7,19,19
Bundesliga,1910737,36,Leverkusen,True,798,677,12,1,12,10,7
Bundesliga,1910739,796,Union Berlin,False,372,261,6,0,4,11,6
Bundesliga,1910739,134,Borussia M.Gladbach,True,538,433,21,1,16,13,11
Bundesliga,1910741,44,Borussia Dortmund,True,319,225,10,2,9,21,15
Bundesliga,1910741,37,Bayern,False,626,533,14,3,11,17,14
Bundesliga,1910747,1211,Hoffenheim,True,631,491,20,0,16,12,8
Bundesliga,1910747,283,St. Pauli,False,351,232,11,1,7,14,11
Bundesliga,1910751,4852,FC Heidenheim,False,459,360,10,0,7,17,13
Bundesliga,1910751,42,Werder Bremen,True,461,342,17,2,11,15,3
Bundesliga,1910649,41,Stuttgart,False,550,456,15,2,12,14,4
Bundesliga,1910649,282,FC Koln,True,412,328,15,1,11,9,11
Bundesliga,1910651,1211,Hoffenheim,False,447,332,15,1,9,11,6
Bundesliga,1910651,50,Freiburg,True,336,219,6,1,5,13,9
Bundesliga,1910659,38,Hamburg,False,576,496,16,0,12,14,4
Bundesliga,1910659,796,Union Berlin,True,310,216,11,0,7,12,8
Bundesliga,1910767,134,Borussia M.Gladbach,True,438,345,7,0,4,20,7
Bundesliga,1910767,7614,RBL,False,608,535,20,0,17,15,6
Bundesliga,1910614,283,St. Pauli,False,530,421,17,2,12,26,7
Bundesliga,1910614,38,Hamburg,True,474,388,5,0,2,14,9
Bundesliga,1910763,44,Borussia Dortmund,False,394,314,7,2,7,16,8
Bundesliga,1910763,36,Leverkusen,True,663,576,14,1,12,11,7
Bundesliga,1910765,37,Bayern,True,1058,966,19,3,12,7,8
Bundesliga,1910765,283,St. Pauli,False,264,191,10,1,9,23,11
Bundesliga,1910774,1211,Hoffenheim,True,633,523,17,3,13,9,12
Bundesliga,1910774,1730,Augsburg,False,436,311,15,0,8,13,11
Bundesliga,1910776,796,Union Berlin,True,373,256,9,1,9,6,12
Bundesliga,1910776,4852,FC Heidenheim,False,498,378,10,2,9,18,7
Bundesliga,1910778,42,Werder Bremen,True,519,422,17,1,14,17,11
Bundesliga,1910778,282,FC Koln,False,539,452,10,1,8,13,13
Bundesliga,1910826,282,FC Koln,True,371,259,15,1,10,21,5
Bundesliga,1910826,33,Wolfsburg,False,509,398,14,0,9,20,5
Bundesliga,1910607,7614,RBL,True,582,496,19,2,13,11,8
Bundesliga,1910607,4852,FC Heidenheim,False,305,211,5,0,5,16,7
Bundesliga,1910608,36,Leverkusen,False,614,533,10,3,5,12,7
Bundesliga,1910608,42,Werder Bremen,True,498,411,12,3,8,17,5
Bundesliga,1910609,41,Stuttgart,True,534,462,13,1,10,14,8
