league,club,country_code,level,elo,snapshot_date,fetched_at,source
Ligue_1,Strasbourg,FRA,1,1699.10693359,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Brest,FRA,1,1662.82141113,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Toulouse,FRA,1,1654.83496094,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Nice,FRA,1,1602.31689453,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Lorient,FRA,1,1600.32678223,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Angers,FRA,1,1574.65002441,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Auxerre,FRA,1,1573.51574707,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Nantes,FRA,1,1564.40380859,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Le Havre,FRA,1,1564.09130859,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Metz,FRA,1,1545.94519043,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Ligue_1,Paris FC,FRA,1,1538.29296875,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Ipswich,ENG,2,1621.49938965,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Coventry,ENG,2,1606.5604248,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Middlesbrough,ENG,2,1564.43908691,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Sheffield United,ENG,2,1563.8972168,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Leicester,ENG,2,1562.34179688,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Preston,ENG,2,1539.23327637,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Watford,ENG,2,1537.58654785,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Bristol City,ENG,2,1532.92944336,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Southampton,ENG,2,1530.35192871,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Millwall,ENG,2,1528.94641113,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Hull,ENG,2,1527.57373047,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Stoke,ENG,2,1524.30383301,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Wrexham,ENG,2,1512.74243164,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,QPR,ENG,2,1504.94848633,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,West Brom,ENG,2,1495.15783691,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Swansea,ENG,2,1492.60998535,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Derby,ENG,2,1492.4083252,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Blackburn,ENG,2,1485.53796387,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Birmingham,ENG,2,1467.80688477,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Norwich,ENG,2,1462.2265625,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Portsmouth,ENG,2,1450.12780762,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
