player_id,player_name,tm_player_id,tm_player_name,confidence,verified,tm_team_name
99143.0,Florian Thauvin,,Florian Thauvin,100.0,auto,RC Lens
386153.0,Rayan Cherki,,Rayan Cherki,100.0,auto,Manchester City
367782.0,Mason Greenwood,,Mason Greenwood,100.0,auto,Olympique Marseille
377168.0,Luis Díaz,,Luis Díaz,100.0,auto,Bayern Munich
388098.0,Jérémy Doku,,Jérémy Doku,100.0,auto,Manchester City
415181.0,Arda Güler,,Arda Güler,100.0,auto,Real Madrid
337782.0,Vinícius Júnior,,Vinicius Junior,100.0,auto,Real Madrid
557706.0,Lennart Karl,,Lennart Karl,100.0,auto,Bayern Munich
477985.0,Ibrahim Maza,,Ibrahim Maza,100.0,auto,Bayer 04 Leverkusen
433572.0,Bilal El Khannouss,,Bilal El Khannouss,100.0,auto,VfB Stuttgart
300299.0,Marcus Rashford,,Marcus Rashford,100.0,auto,FC Barcelona
394786.0,Florian Wirtz,,Florian Wirtz,100.0,auto,Liverpool FC
422186.0,Ilan Kebbal,,Ilan Kebbal,100.0,auto,Paris FC
463838.0,Fermín López,,Fermín López,100.0,auto,FC Barcelona
300447.0,Raphinha,,Raphinha,100.0,auto,FC Barcelona
364315.0,Antony,,Antony,100.0,auto,Real Betis Balompié
352825.0,Cody Gakpo,,Cody Gakpo,100.0,auto,Liverpool FC
392361.0,Azzedine Ounahi,,Azzedine Ounahi,100.0,auto,Girona FC
123761.0,Bruno Fernandes,,Bruno Fernandes,100.0,auto,Manchester United
349888.0,Chris Führich,,Chris Führich,100.0,auto,VfB Stuttgart
344949.0,Danel Sinani,,Danel Sinani,100.0,auto,FC St. Pauli
367857.0,Ander Barrenetxea,,Ander Barrenetxea,100.0,auto,Real Sociedad
261212.0,Dani Olmo,,Dani Olmo,100.0,auto,FC Barcelona
119501.0,Serge Gnabry,,Serge Gnabry,100.0,auto,Bayern Munich
331254.0,Phil Foden,,Phil Foden,100.0,auto,Manchester City
303908.0,Giovani Lo Celso,,Giovani Lo Celso,100.0,auto,Real Betis Balompié
419341.0,Valentín Barco,,Valentín Barco,100.0,auto,RC Strasbourg Alsace
239872.0,Nicolas Pépé,,Nicolas Pépé,100.0,auto,Villarreal CF
379868.0,Jude Bellingham,,Jude Bellingham,100.0,auto,Real Madrid
395242.0,Álex Baena,,Álex Baena,100.0,auto,Atlético de Madrid
412831.0,Félix Correia,,Félix Correia,100.0,auto,LOSC Lille
417747.0,Julio Enciso,,Julio Enciso,100.0,auto,RC Strasbourg Alsace
238899.0,Alex Berenguer,,Álex Berenguer,100.0,auto,Athletic Bilbao
437022.0,Alejandro Garnacho,,Alejandro Garnacho,100.0,auto,Chelsea FC
247454.0,Martin Ødegaard,,Martin Ødegaard,100.0,auto,Arsenal FC
297203.0,Pablo Fornals,,Pablo Fornals,100.0,auto,Real Betis Balompié
467776.0,Can Uzun,,Can Uzun,100.0,auto,Eintracht Frankfurt
261021.0,Nadiem Amiri,,Nadiem Amiri,100.0,auto,1.FSV Mainz 05
335696.0,Edu Expósito,,Edu Expósito,100.0,auto,RCD Espanyol Barcelona
377285.0,Takefusa Kubo,,Takefusa Kubo,100.0,auto,Real Sociedad
467223.0,Amine Sbaï,,Amine Sbaï,100.0,auto,Angers SCO
113069.0,Jack Grealish,,Jack Grealish,100.0,auto,Everton FC
361815.0,Yann Gboho,,Yann Gboho,100.0,auto,FC Toulouse
551965.0,Bazoumana Touré,,Bazoumana Touré,100.0,auto,TSG 1899 Hoffenheim
344314.0,Marcus Tavernier,,Marcus Tavernier,100.0,auto,AFC Bournemouth
431667.0,Pablo Pagis,,Pablo Pagis,100.0,auto,FC Lorient
75217.0,Andrej Kramaric,,Andrej Kramaric,100.0,auto,TSG 1899 Hoffenheim
424252.0,Hákon Haraldsson,,Hákon Arnar Haraldsson,95.0,auto,LOSC Lille
295084.0,David Brooks,,David Brooks,100.0,auto,AFC Bournemouth
475462.0,Matias Fernandez-Pardo,,Matías Fernández-Pardo,100.0,auto,LOSC Lille
361732.0,Thiago Almada,,Thiago Almada,100.0,auto,Atlético de Madrid
343435.0,Ritsu Doan,,Ritsu Doan,100.0,auto,Eintracht Frankfurt
426648.0,Maghnes Akliouche,,Maghnes Akliouche,100.0,auto,AS Monaco
300291.0,Romain Del Castillo,,Romain Del Castillo,100.0,auto,Stade Brestois 29
422959.0,Isi Palazón,,Isi Palazón,100.0,auto,Rayo Vallecano
338780.0,Bruno Guimarães,,Bruno Guimarães,100.0,auto,Newcastle United
113747.0,Adrien Thomasson,,Adrien Thomasson,100.0,auto,RC Lens
434138.0,Pablo Barrios,,Pablo Barrios,100.0,auto,Atlético de Madrid
379252.0,Jamie Leweling,,Jamie Leweling,100.0,auto,VfB Stuttgart
